WigleWifi-1.4,appRelease=2.25,model=MotoG3,release=6.0,device=osprey_u2,display=MPIS24.65-25.1-19,board=msm8916,brand=motorola,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-10-31 12:23:25,6,-75,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-10-31 12:23:25,11,-66,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:96:48,Ariel_University,[ESS],2017-10-31 12:23:25,11,-85,32.10383152,35.20698681,669,3,WIFI
00:27:19:e3:2d:fe,AUC_51_3,[ESS],2017-10-31 12:23:25,1,-83,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:09:84:f8,Ariel_University,[ESS],2017-10-31 12:23:25,1,-82,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:16:06:38,Ariel_University,[ESS],2017-10-31 12:23:25,11,-74,32.10383152,35.20698681,669,3,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-10-31 12:23:25,5,-67,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-10-31 12:23:25,11,-79,32.10383152,35.20698681,669,3,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-10-31 12:23:25,2,-65,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-10-31 12:23:25,1,-76,32.10383152,35.20698681,669,3,WIFI
3c:52:82:ef:d4:1e,DIRECT-1D-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,6,-80,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:16:04:d8,Ariel_University,[ESS],2017-10-31 12:23:25,11,-84,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:55:44:73,island-154470,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,8,-71,32.10383152,35.20698681,669,3,WIFI
70:5a:0f:5c:b0:0b,DIRECT-80-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,6,-76,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:15:1f:58,Ariel_University,[ESS],2017-10-31 12:23:25,1,-76,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-10-31 12:23:25,6,-80,32.10383152,35.20698681,669,3,WIFI
42501_10072_480144,012 Mobile,HSDPA;il,2017-10-31 12:23:25,0,-71,32.10383152,35.20698681,669,3,GSM
1c:b9:c4:16:ec:58,Ariel_University,[ESS],2017-10-31 12:23:27,1,-85,32.10386229,35.20699744,670,3,WIFI
ec:8c:a2:08:a3:38,Ariel_University,[ESS],2017-10-31 12:23:27,6,-86,32.10386229,35.20699744,670,3,WIFI
f0:b0:52:3e:d1:e8,Ariel_University,[ESS],2017-10-31 12:23:27,11,-89,32.10386229,35.20699744,670,3,WIFI
1c:b9:c4:16:28:88,Ariel_University,[ESS],2017-10-31 12:23:29,11,-82,32.10388357,35.20700491,671,3,WIFI
